MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Segregation Effect on Solidification Cracking in Spot Welding of the 6XXX Aluminum,Polonia,Engineering Transactions,2450-8071,2020,4,N/A,1 - 16,10.24423/EngTrans.1185.20201120 ,"EDWAR ANDRES TORRES LOPEZ, JONATHAN ANDRES GRACIANO URIBE, DIEGO ANDRES HINCAPIE ZULUAGA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Review: Gravitational vortex turbine as a renewable energy,Japón,International Journal of Fluid Machinery and Systems,1882-9554,2020,13,págs:,704 - 717,10.5293/IJFMS.2020.13.4.704 ,"JORGE ANDRES SIERRA DEL RIO, JOSE ALEJANDRO POSADA MONTOYA, ANGIE JUDITH GUEVARA MUNOZ, ALEJANDRO RUIZ SANCHEZ"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,SIMULACIÓN Y VALIDACIÓN DE LA DISTRIBUCIÓN DE TEMPERATURAS EN UN MOLDE DE INYECCIÓN,España,Dyna,0012-7361,2020,7,págs:,1 - 14,10.6036/NT9906 ,"ADRIAN JOSE BENITEZ LOZANO, CARLOS ANDRES VARGAS ISAZA, WILFREDO MONTEALEGRE RUBIO"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Evaluation of the Fluid-Structure Interaction of a Hydrokinetic Turbine Blade by Computational Fluid Dynamics and Finite Element Analysis,India,International Journal of Engineering Research and Technology,0974-3154,2020,13,págs:,4706 - 4711, ,"JUAN DIEGO BETANCUR GOMEZ, JUAN GONZALO ARDILA MARIN, EDWIN LENIN CHICA ARRIETA, JONATHAN ANDRES GRACIANO URIBE, SEBASTIAN VELEZ GARCIA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Diseño y construcción de un equipo estimulador de campo eléctrico tipo capacitivo para estimulación celular,Colombia,Revista Eia,1794-1237,2020,17,N/A,1 - 11,10.24050/reia.v17i34.1410 ,"SEBASTIAN ROLDAN VASCO, CLAUDIA PATRICIA OSSA OROZCO, LUZ MARINA RESTREPO MUNERA, MARIA ELENA MONCADA ACEVEDO"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Optimal Location and Sizing of Distributed Generators in DC Networks Using a Hybrid Method Based on Parallel PBIL and PSO,Suiza,Electronics,2079-9292,2020,9,11,1 - 27,10.3390/electronics9111808 ,LUIS FERNANDO GRISALES NORENA
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Evaluación de la Soldabilidad de Rieles Endurecidos Grado R350HT para la Reparación de Ferrovías con Recargues Superficiales,Brasil,Soldagem & Inspeção,1980-6973,2020,25,N/A,1 - 15,10.1590/0104-9224/SI25.37 ,JUAN FELIPE SANTA MARIN
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Simulation of methanol production from residual biomasses in a Cu/ZnO/Al2O3 packed bed reactor,Colombia,Revista Facultad de Ingenieria,0120-6230,2020,100,págs:,1 - 27,10.17533/udea.redin ,"CARLOS ESTEBAN ARISTIZABAL ALZATE, ANDRES FELIPE VARGAS RAMIREZ, PEDRO NEL ALVARADO TORRES"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Optimal Power Flow in Direct Current Networks Using the Antlion Optimizer,Estados Unidos,"Statistics, Optimization and Information Computing",2310-5070,2020,8,1,846 - 857,10.19139/soic-2310-5070-1022 ,"LUIS FERNANDO GRISALES NORENA, OSCAR DANILO MONTOYA GIRALDO, OSCAR DANIEL GARZON RIVERA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Electrophysiological and Mechanical Approaches to the Swallowing Analysis,Alemania,Communications in Computer and Information Science,1865-0929,2020,1274,N/A,281 - 290,10.1007/978-3-030-61834-6_24 ,"JUAN PABLO RESTREPO URIBE, SEBASTIAN ROLDAN VASCO, ESTEFANIA PEREZ GIRALDO, JUAN RAFAEL OROZCO ARROYAVE, ANDRES FELIPE OROZCO DUQUE"
