CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Comparison of empirical correlations for the oxygen transfer coefficient estimation in an aerobic bioprocess,Colombia,Ingenierías USBMed,2027-5846,2016,7,N/A,14 - 20,http://dx.doi.org/10.21500/issn.2027-5846 ,"JOSE FERNANDO GARCIA TIRADO, MANUEL ALEJANDRO OSPINA ALARCON, MARIBEL RUIZ BOTERO, CHRISTIAN CAMILO ZULUAGA BEDOYA"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Análisis proteómico del veneno de la abeja africanizada: comparación de métodos de extracción,Colombia,Acta Biologica Colombiana,1900-1649,2016,21,3,619 - 626,http://dx.doi.org/10.15446/abc.v21n3.54046 ,"EDILSON DELGADO TREJOS, SARAH RUTH ROTHLISBERGER BOOTH, NINI JOHANNA PEDROZA DIAZ"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,NANOMETROLOGÍA: IMPACTO EN LOS SISTEMAS DE PRODUCCIÓN,Colombia,Ciencia E Ingeniería Neogranadina,0124-8170,2016,26,2,49 - 72, ,"LUIS FERNANDO GIRALDO JARAMILLO, ESTEFANIA RUIZ GOMEZ"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Reinforcement effect of carbon black in Colombian natural rubber: Benchmarking with Guatemala rubber,Reino Unido,Journal of Elastomers and Plastics,0095-2443,2016,2016,01,01 - 14,10.1177/0095244316645953 ,"LEYLA YAMILE JARAMILLO ZAPATA, JUAN CARLOS POSADA CORREA, CARLOS ANDRES VARGAS ISAZA, LUIS ALBERTO GARCIA, JUAN DIEGO SIERRA MUNETON"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Reinforcement effect of carbon black in Colombian natural rubber: Benchmarking with Guatemala rubber,Reino Unido,Journal of Elastomers and Plastics,0095-2443,2016,2016,01,01 - 14,10.1177/0095244316645953 ,"LUIS ALBERTO GARCIA, JUAN CARLOS POSADA CORREA, CARLOS ANDRES VARGAS ISAZA, LEYLA YAMILE JARAMILLO ZAPATA, JUAN DIEGO SIERRA MUNETON"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Reinforcement effect of carbon black in Colombian natural rubber: Benchmarking with Guatemala rubber,Reino Unido,Journal of Elastomers and Plastics,0095-2443,2016,2016,01,01 - 14,10.1177/0095244316645953 ,"JUAN CARLOS POSADA CORREA, CARLOS ANDRES VARGAS ISAZA, LEYLA YAMILE JARAMILLO ZAPATA, LUIS ALBERTO GARCIA, JUAN DIEGO SIERRA MUNETON"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,"""Diagnóstico del aseguramiento metrológico en el sector plástico",,"alimentos, construcción y metal mecánico.""  Colombia, Gerencia Tecnologica Informatica - Gti",1657-8236,2016,15,42,17 - 30, ,JAIRO ALONSO PALACIO MORALES
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Study of mechanical and physical properties of LLDPE-G-MA injection grade reinforced with coffee husk post-industrial waste,Reino Unido,Journal of Composite Materials,0021-9983,2016,01,01,1 - 11,10.1177/0021998316644854 ,"JUAN CARLOS POSADA CORREA, LEYLA YAMILE JARAMILLO ZAPATA, JUAN DIEGO SIERRA MUNETON, WILLIAM URREGO YEPES"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Analysis of transportation networks subject to natural hazards ¿ Insights from a Colombian case,Reino Unido,Reliability Engineering '&' System Safety,0951-8320,2016,152,N/A,151 - 165,http://dx.doi.org/10.1016/j.ress.2016.03.006 0 ,"JUAN ESTEBAN MURIEL VILLEGAS, KARLA CRISTINA ALVAREZ URIBE, CARMEN ELENA PATINO RODRIGUEZ, JUAN GUILLERMO VILLEGAS RAMIREZ"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Study of mechanical and physical properties of LLDPE-G-MA injection grade reinforced with coffee husk post-industrial waste,Reino Unido,Journal of Composite Materials,0021-9983,2016,1,1,01 - 11,10.1177/0021998316644854 ,"LEYLA YAMILE JARAMILLO ZAPATA, JUAN CARLOS POSADA CORREA, WILLIAM URREGO YEPES, JUAN DIEGO SIERRA MUNETON"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Study of mechanical and physical properties of LLDPE-G-MA injection grade reinforced with coffee husk post-industrial waste,Reino Unido,Journal of Composite Materials,0021-9983,2016,01,01,01 - 11,10.1177/0021998316644854 ,"LEYLA YAMILE JARAMILLO ZAPATA, JUAN CARLOS POSADA CORREA, WILLIAM URREGO YEPES, JUAN DIEGO SIERRA MUNETON"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Model of Human Knowledge Extraction for a KBS Using Reasoning Cases,Estados Unidos,IEEE Latin America Transactions,1548-0992,2016,14,N/A,1466 - 1472,10.1109/TLA.2016.7459636 ,"JOVANI ALBERTO JIMENEZ BUILES, DIANA MARIA MONTOYA QUINTERO"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Mobile Applictaion for Integrated Metrology Process Managemente,Estados Unidos,IEEE Latin America Transactions,1548-0992,2016,14,N/A,1460 - 1465,10.1109/TLA.2016.7459635 ,"DIANA MARIA MONTOYA QUINTERO, WILDER PERDOMO CHARRY, JUAN CAMILO GIRALDO MEJIA, JAIRO ALONSO PALACIO MORALES, NELSON DE JESUS BEDOYA CARDONA"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Mobile Application for Integrated Metrology Process Management,Estados Unidos,IEEE Latin America Transactions,1548-0992,2016,14,3,1460 - 1465,10.1109/TLA.2016.7459635 ,"JAIRO ALONSO PALACIO MORALES, DIANA MARIA MONTOYA QUINTERO, JUAN CAMILO GIRALDO MEJIA, NELSON DE JESUS BEDOYA CARDONA, WILDER PERDOMO CHARRY"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Study of the Convergence in State Estimators for LTI Systems with Event Detection,Estados Unidos,Journal of Control Science and Engineering,1687-5257,2016,2016,01,01 - 06,10.1155/2016/4281786 ,"JUAN CARLOS POSADA CORREA, RUBEN DARIO GUERRA"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Study of the Convergence in State Estimators for LTI Systems with Event Detection,Estados Unidos,Journal of Control Science and Engineering,1687-5257,2016,2016,01,01 - 06,10.1155/2016/4281786 ,JUAN CARLOS POSADA CORREA
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,La Ingeniería de Control y su Rol Actual en la Medicina,Colombia,Ingenierías USBMed,2027-5846,2016,4,2,1 - 3,http://dx.doi.org/10.21500/issn.2027-5846 ,JOSE FERNANDO GARCIA TIRADO
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Development of Cognitive Skills Through Psychokinetic Games,Estados Unidos,Research Quarterly for Exercise and Sport,0270-1367,2016,87,págs:,5118 - 5118,10.1080/02701367.2016.1213610 ,"ELKIN ALBERTO ARIAS ARIAS, OLGA LUCIA LARREA SERNA"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Método para Auditorias de Sistemas de Gestión de la Calidad Aplicando Ingeniería de Conocimiento,Colombia,Ingenierías USBMed,2027-5846,2016,7,2,54 - 59,10.21500/20275846.2037,DIANA MARIA MONTOYA QUINTERO
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Asistente domótico a distancia mediante la aplicación de técnicas de reconocimiento de voz,Colombia,Revista De Investigaciones Universidad Del Quindio,1794-631X,2015,27,2,48 - 53, ,"JAIRO ANDRES VELEZ PEREZ, EDILSON DELGADO TREJOS"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Bio-based composites from agricultural wastes: Polylactic acid and bamboo Guadua angustifolia,Estados Unidos,Journal of Composite Materials,0021-9983,2015,1,N/A,1 - 9,10.1177/0021998315616274 ,"LEYLA YAMILE JARAMILLO ZAPATA, JUAN CARLOS POSADA CORREA, LUIS ALBERTO GARCIA"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Bio-based composites from agricultural wastes: Polylactic acid and bamboo Guadua angustifolia,Estados Unidos,Journal of Composite Materials,0021-9983,2015,1,N/A,1 - 9,,"LUIS ALBERTO GARCIA, LEYLA YAMILE JARAMILLO ZAPATA, JUAN CARLOS POSADA CORREA"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Bio-based composites from agricultural wastes: Polylactic acid and bamboo Guadua angustifolia,Estados Unidos,Journal of Composite Materials,0021-9983,2015,1,N/A,1 - 9,10.1177/0021998315616274 ,"JUAN CARLOS POSADA CORREA, LEYLA YAMILE JARAMILLO ZAPATA, LUIS ALBERTO GARCIA"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Influence of perceived behavioral control in entrepreneurial intentions of engineering students,Turquía,Turkish Online Journal of Educational Technology,1303-6521,2015,7,N/A,341 - 347, ,ALEJANDRO VALENCIA ARIAS
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Identification of Difficulties in the Consolidation of Research Processes at a Higher Education Institution: A Case Study,Turquía,Turkish Online Journal of Educational Technology,1303-6521,2015,14,3,73 - 80, ,"LUISA FERNANDA DIEZ ECHAVARRIA, ELIANA MARIA VILLA ENCISO, ALEJANDRO VALENCIA ARIAS"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Individual Factors that Encourage the Use of Virtual Platforms of Administrative Sciences Students: A Case Study,Turquía,Turkish Online Journal of Educational Technology,1303-6521,2015,14,3,81 - 87, ,"ALEJANDRO VALENCIA ARIAS, SALIM CHALELA NAFFAH, JONATHAN BERMUDEZ HERNANDEZ, LUZ MIRELIA BEDOYA PEREZ"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Identificación del desempeño de las empresas dentro de los clusters,Colombia,Espacios,0798-1015,2015,36,12,11 - 19, ,"DIANA MARIA ARANGO BOTERO, ALEJANDRO VALENCIA ARIAS"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Student's Perception and Expectation towards the Creation and Implementation of a Technology Management Laboratory at the Metropolitan Technology Institute MTI,Hungría,"Periodica Polytechnica, Social and Management Sciences",1416-3837,2015,23,2,98 - 105,10.3311/PPso.7915 ,ALEJANDRO VALENCIA ARIAS
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Differential Calculus Teaching through Virtual Learning Objects in the Field of Management Sciences,Países Bajos,Procedia - Social and Behavioral Sciences,1877-0428,2015,176,N/A,412 - 418,10.1016/j.sbspro.2015.01.490 ,ALEJANDRO VALENCIA ARIAS
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Reflections about the Use of Information and Communication Technologies in Accounting Education,Países Bajos,Procedia - Social and Behavioral Sciences,1877-0428,2015,176,N/A,992 - 997,10.1016 / j.sbspro.2015.01.569 ,ALEJANDRO VALENCIA ARIAS
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Formative Research in Higher Education: Some Reflections,Países Bajos,Procedia - Social and Behavioral Sciences,1877-0428,2015,176,N/A,941 - 945,10.1016/j.sbspro.2015.01.562 ,ALEJANDRO VALENCIA ARIAS
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Promoción de la cultura investigativa como motor de desarrollo económico y social: una visión sistémica,Venezuela,Espacios,0798-1015,2015,36,1,3 - 12, ,"LUISA FERNANDA DIEZ ECHAVARRIA, ALEJANDRO VALENCIA ARIAS, ELIANA MARIA VILLA ENCISO"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Caracterización del Sector Cerámico Tradicional del Valle de Aburrá y los Riesgos Profesionales Latentes en su Proceso Productivo,Colombia,Lámpsakos,2145-4086,2014,12,N/A,34 - 42, ,"GIAN PAOLO MONTOYA RIVAS, JULIAN BOTERO GIRALDO, RENATA STEPHANY MONTOYA RIVAS"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,"""Comportamiento de materiales compuestos a partir de matriz polimérica con nanocargas en el proceso de moldeo por inyección usando software de simulación""",Colombia,Entre Ciencia E Ingenieria,1909-8367,2014,15,1,57 - 61, ,"LUIS ALBERTO GARCIA, JUAN CARLOS POSADA CORREA, LEYLA YAMILE JARAMILLO ZAPATA, CARLOS ANDRES VARGAS ISAZA, JORGE IVAN VILLEGAS CARDONA"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Correlación de la gestión de riesgos profesionales en la productividad de las empresas del sector cerámico del Valle de Aburrá,Colombia,Ingenierías USBMed,2027-5846,2014,5,2,6 - 11, ,"GIAN PAOLO MONTOYA RIVAS, JULIAN BOTERO GIRALDO, RENATA STEPHANY MONTOYA RIVAS"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,El papel de la integración Universidad-Empresa-Estado como estrategia en el fortalecimiento de los Sistemas Regionales de Innovación,Venezuela,Espacios,0798-1015,2014,35,13,15 - 27, ,"JONATHAN BERMUDEZ HERNANDEZ, ALEJANDRO VALENCIA ARIAS, MONICA CASTANEDA RIASCOS"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Estudio comparativo de negro de humo y alúmina como cargas reforzantes en mezclas de caucho natural,Colombia,Uis Ingenierías,1657-4583,2014,13,2,59 - 67,2145-8456 ,"LEYLA YAMILE JARAMILLO ZAPATA, JUAN CARLOS POSADA CORREA, LUIS ALBERTO GARCIA, CARLOS ANDRES VARGAS ISAZA, CARLOS ANDRES VARGAS ISAZA"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Estudio comparativo de negro de humo y alúmina como cargas reforzantes en mezclas de caucho natural,Colombia,Uis Ingenierías,1657-4583,2014,13,2,59 - 67,2145-8456 ,"LUIS ALBERTO GARCIA, JUAN CARLOS POSADA CORREA, LEYLA YAMILE JARAMILLO ZAPATA, CARLOS ANDRES VARGAS ISAZA"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Estudio comparativo de negro de humo y alúmina como cargas reforzantes en mezclas de caucho natural,Colombia,Uis Ingenierías,1657-4583,2014,13,2,59 - 67, ,"JUAN CARLOS POSADA CORREA, CARLOS ANDRES VARGAS ISAZA, LEYLA YAMILE JARAMILLO ZAPATA, LUIS ALBERTO GARCIA"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Comportamiento de materiales compuestos a partir de matriz polimérica con nanocargas en el proceso de moldeo por inyección usando software de simulación,Colombia,Entre Ciencia E Ingenieria,1909-8367,2014,15,1,57 - 61,10.31908/19098367.2234 ,"JUAN CARLOS POSADA CORREA, CARLOS ANDRES VARGAS ISAZA, LEYLA YAMILE JARAMILLO ZAPATA, LUIS ALBERTO GARCIA, JORGE IVAN VILLEGAS CARDONA"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Despliegue de la política de la calidad en Instituciones de Educación Superior públicas usando los principios del Balanced Scorecard,Colombia,Trilogía,2145-4426,2014,6,10,103 - 118,10.22430/21457778.434 ,JUAN MIGUEL COGOLLO FLOREZ
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Intención de uso del e-learning en el programa de Administración Tecnológica desde la perspectiva del modelo de aceptación tecnológica,Costa Rica,Revista Electronica Educare,1409-4258,2014,18,2,247 - 264,10.15359/ree.18-2.13 ,"ALEJANDRO VALENCIA ARIAS, MARTHA LUZ BENJUMEA ARIAS"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,La gestion del conocimiento en una propuesta de innovacion para las empresas de autidoria colombianas,Colombia,Vínculos,1794-211X,2013,10,N/A,236 - 250, ,DIANA MARIA MONTOYA QUINTERO
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,"Diseño y desarrollo de un equipo para el control de la calidad en la industria panificadora""",Colombia,Tecnura,0123-921X,2013,17,37,177 - 190, ,"ANDREA LUCIA FLOREZ RENDON, NELSON FLOREZ RAMIREZ, FRANCISCO JAVIER LOPEZ CORREA"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Sistema de información móvil para la gestión metrológica,Colombia,Vínculos,1794-211X,2013,10,2,196 - 206, ,"JAIRO ALONSO PALACIO MORALES, DIANA MARIA MONTOYA QUINTERO, JUAN CAMILO GIRALDO MEJIA, NELSON DE JESUS BEDOYA CARDONA, WILDER PERDOMO CHARRY"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Sistema de información móvil para la gestión metrológica,Colombia,Vínculos,1794-211X,2013,10,2,196 - 206, ,"DIANA MARIA MONTOYA QUINTERO, JUAN CAMILO GIRALDO MEJIA, JAIRO ALONSO PALACIO MORALES, NELSON DE JESUS BEDOYA CARDONA, WILDER PERDOMO CHARRY"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Medición del impacto de las competencias laborales en la productividad de los procesos: caso de una empresa manufacturera.,Colombia,Innovar,0121-5051,2012,22,45,37 - 50, ,"URIEL FERNANDO PINEDA ZAPATA, GIOVANNI PEREZ ORTEGA, MARTIN ARANGO SERNA, MARTIN DARIO ARANGO SERNA"
CALIDAD METROLOGIA Y PRODUCCIÓN,Publicado en revista especializada,Aplicacion de la tecnica de asociacion de la mineria de datos en un caso de investigacion,Colombia,Memorias,0124-4361,2012,10,N/A,36 - 46, ,DIANA MARIA MONTOYA QUINTERO
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Control-Oriented Model of Photovoltaic Systems Based on a Dual Active Bridge Converter,Suiza,Sustainability,2071-1050,2021,13,14,1 - 22,10.3390/su13147689 ,"DIEGO ALEJANDRO HERRERA JARAMILLO, ELKIN EDILBERTO HENAO BRAVO, DANIEL GONZALEZ MONTOYA, CARLOS ANDRES RAMOS PAJA, ANDRES JULIAN SAAVEDRA MONTES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Rapid control prototyping platform for PV systems based on Arduino and Simulink,Colombia,Revista Eia,1794-1237,2021,18,36,1 - 21,10.24050/reia.v18i36.1470 ,"JUAN ESTEBAN ZABALA DAZA, DANIEL GONZALEZ MONTOYA, ELKIN EDILBERTO HENAO BRAVO, CARLOS ANDRES RAMOS PAJA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Graphene-Coated Highly Sensitive Photonic Crystal Fiber Surface Plasmon Resonance Sensor for Aqueous Solution: Design and Numerical Analysis,Suiza,Photonics,2304-6732,2021,8,5,1 - 14,10.3390/photonics8050155 ,"NELSON DARIO GOMEZ CARDONA, ERICK ESTEFEN REYES VERA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,A low-cost IoT multi-spectral acquisition device,,HardwareX,2468-0672,2021,9,N/A,1 - 9,10.1016/j.ohx.2021.e00173 ,"JUAN SEBASTIAN BOTERO VALENCIA, JULIANA VALENCIA AGUIRRE, DORUKALP DURMUS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Systematic analysis of control techniques for the dual active bridge converter in photovoltaic applications,,International Journal of Circuit Theory and Applications,1097-007X,2021,50,N/A,1 - 22,10.1002/cta.3031 ,"DIEGO ALEJANDRO HERRERA JARAMILLO, DANIEL GONZALEZ MONTOYA, ELKIN EDILBERTO HENAO BRAVO, CARLOS ANDRES RAMOS PAJA, ANDRES JULIAN SAAVEDRA MONTES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Application of a simulation tool based on a bio-inspired algorithm for optimisation of distributed power generation systems,Colombia,Cogent Engineering,2331-1916,2021,8,1,1 - 16,10.1080/23311916.2021.1909791 ,GERMAN DAVID GOEZ SANCHEZ
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Performance Evaluation of Symmetric Cryptographic Algorithms in resource constrained hardware for Wireless Sensor Networks.,Colombia,IEEE Latin America Transactions,1548-0992,2021,19,10,1632 - 1639,10.1109/TLA.2021.9477225 ,GERMAN DAVID GOEZ SANCHEZ
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Performance Evaluation of Symmetric Cryptographic Algorithms in resource constrained hardware for Wireless Sensor Networks,,IEEE Latin America Transactions,1548-0992,2021,19,10,1632 - 1639, ,"JUAN CARLOS GONZALEZ ARANGO, DIANA CATALINA OCAMPO MUNERA, LUIS FERNANDO CASTANO LONDONO, GERMAN DAVID GOEZ SANCHEZ, RICARDO ANDRES VELASQUEZ VELEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Sistema de valoración funcional para sistemas de aeronavegación no tripulados a partir de la calidad de la información,Colombia,Revista Iteckne,1692-1798,2021,N/A,N/A,1 - 21,10.15332/iteckne.v18i1.2547 ,LEONARDO SERNA GUARIN
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,A Modified KNN Algorithm for High-Performance Computing on FPGA of Real-Time m-QAM Demodulators,,Electronics,2079-9292,2021,10,5,1 - 14,10.3390/electronics10050627 ,"DAVID ANDRES MARQUEZ VILORIA, LUIS FERNANDO CASTANO LONDONO, NEIL GUERRERO GONZALEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Synthetic antimicrobial peptides generation using recurrent neural networks,Colombia,DYNA,0012-7353,2021,88,216,210 - 219,10.15446/dyna.v88n221.88799 ,"CARLOS ANDRES MERA BANGUERO, SERGIO ORDUZ PERALTA, JOHN WILLIAN BRANCH BEDOYA, ANDRES VELEZ ECHEVERRI"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Adaptive classification using incremental learning for seismic-volcanic signals with concept drift,Países Bajos,Journal of Volcanology and Geothermal Research,0377-0273,2021,413,N/A,1 - 14,10.1016/j.jvolgeores.2021.107211 ,"CARLOS ANDRES MERA BANGUERO, MAURICIO OROZCO ALZATE, PAOLA ALEXANDRA CASTRO CABRERA, CESAR GERMAN CASTELLANOS DOMINGUEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Estimación de los parámetros del modelo de un solo diodo del módulo fotovoltaico aplicando el método de optimización basado en búsqueda de patrones mejorado,Colombia,Revista Ingenierías Universidad de Medellín,2248-4094,2021,20,N/A,1 - 20,10.22395/rium.v20n38a1 ,"ANDRES FELIPE TOBON MEJIA, JHON JAIRO ROJAS MONTANO, JORGE AURELIO HERRERA CUARTAS, SERGIO IGNACIO SERNA GARCES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Estrategia didáctica adaptativa para el desarrollo de competencias algorítmicas y sistémicas en estudiantes de ingeniería: Un enfoque desde los sistemas adaptativos complejos apoyadas en las TIC,Portugal,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,1646-9895,2021,39,na,506 - 522, ,"JORGE HERNAN SUAZA JIMENEZ, PAULA ANDREA RODRIGUEZ MARIN, GABRIEL ENRIQUE TABORDA BLANDON, GLORIA AMPARO LORA PATINO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Arquitectura conceptual de plataforma tecnológica de vigilancia epidemiológica para la COVID-19,,Campus Virtuales,2255-1514,2021,10,1,21 - 34, ,"PEDRO SANDINO ATENCIO ORTIZ, GERMAN SANCHEZ TORRES, RENE IRAL PALOMINO, JOHN BRANCH BEDOYA, DANIEL BURGOS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Evaluating the Throughput of Real-time Distance Education Services Supported by a Mobile Ad Hoc Network,Colombia,Tecno Lógicas,0123-7799,2021,24,50,- ,10.22430/22565337.1719 ,GERMAN DAVID GOEZ SANCHEZ
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Intrusive Passive Optical Tapping Device,,IEEE Access,2169-3536,2021,9,págs:,1 - 11,10.1109/2021.3060588 ,"NELSON DARIO GOMEZ CARDONA, JORGE ANDRES MONTOYA CARDONA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Programación competitiva como estrategia didáctica para potenciar el aprendizaje colaborativo en estudiantes de ingeniería,Portugal,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,1646-9895,2021,1,1,539 - 553,10.17013/risti ,"GABRIEL ENRIQUE TABORDA BLANDON, GLORIA AMPARO LORA PATINO, PAULA ANDREA RODRIGUEZ MARIN, JORGE HERNAN SUAZA JIMENEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Programación competitiva como estrategia didáctica para potenciar el aprendizaje colaborativo en estudiantes de ingeniería,Portugal,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,1646-9895,2021,39,na,539 - 553, ,"JORGE HERNAN SUAZA JIMENEZ, PAULA ANDREA RODRIGUEZ MARIN, GABRIEL ENRIQUE TABORDA BLANDON, GLORIA AMPARO LORA PATINO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Thermo-optically tunable polarization beam splitter based on selectively gold-filled dual-core photonic crystal fiber with integrated electrodes,Países Bajos,Optical and Quantum Electronics,1572-817X,2021,53,68,1 - 15,10.1007/s11082-020-02718-6 ,"NELSON DARIO GOMEZ CARDONA, CRISTIAN ESTEBAN JIMENEZ DURANGO, JUAN ESTEBAN USUGA RESTREPO, PEDRO IGNACIO TORRES TRUJILLO, ERICK ESTEFEN REYES VERA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Estrategia didáctica adaptativa para el desarrollo de competencias algorítmicas y sistémicas en estudiantes de ingeniería: Un enfoque desde los sistemas adaptativos complejos apoyadas en las TIC,Portugal,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,1646-9895,2021,1,1,506 - 522,10.17013/risti ,"GABRIEL ENRIQUE TABORDA BLANDON, GLORIA AMPARO LORA PATINO, JORGE HERNAN SUAZA JIMENEZ, PAULA ANDREA RODRIGUEZ MARIN"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Traffic characterization in a communications channel for monitoring and control in real-time systems,,Indonesian Journal of Electrical Engineering and Informatics,2089-3272,2020,8,4,683 - 695,10.11591/ijeei.v8i4.1695 ,"LEONARDO SERNA GUARIN, LUIS JAVIER MORANTES GUZMAN, EDILSON DELGADO TREJOS, MIGUEL ALBERTO BECERRA BOTERO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Análisis de Desempeño de Capas de CNN para Arquitecturas Heterogéneas Basadas en FPGA Usando HLS,Colombia,Revista De Ingeniería Universidad Distrital Francisco José De Caldas,2344-8393,2020,26,1,1 - 15,10.14483/23448393.15634 ,"MATEO GUERRA LONDONO, LUIS FERNANDO CASTANO LONDONO, DAVID ANDRES MARQUEZ VILORIA, RICARDO ANDRES VELASQUEZ VELEZ"
